iter	Passed	Remaining
917	19788	1767
918	19806	1745
919	19824	1723
920	19844	1702
921	19862	1680
922	19882	1658
923	19909	1637
924	19929	1615
925	19949	1594
926	19967	1572
927	19985	1550
928	20004	1528
929	20024	1507
930	20045	1485
931	20062	1463
932	20081	1442
933	20104	1420
934	20130	1399
935	20150	1377
936	20171	1356
937	20189	1334
938	20206	1312
939	20226	1291
940	20247	1269
941	20264	1247
942	20285	1226
943	20304	1204
944	20331	1183
945	20360	1162
946	20379	1140
947	20398	1118
948	20416	1097
949	20437	1075
950	20452	1053
951	20470	1032
952	20490	1010
953	20509	988
954	20532	967
955	20557	946
956	20575	924
957	20597	903
958	20627	881
959	20658	860
960	20684	839
961	20711	818
962	20754	797
963	20778	775
964	20799	754
965	20820	732
966	20839	711
967	20856	689
968	20874	667
969	20893	646
970	20911	624
971	20938	603
972	20958	581
973	20977	559
974	20995	538
975	21014	516
976	21036	495
977	21055	473
978	21075	452
979	21092	430
980	21111	408
981	21135	387
982	21159	365
983	21180	344
984	21196	322
985	21213	301
986	21233	279
987	21251	258
988	21270	236
989	21289	215
990	21309	193
991	21332	172
992	21368	150
993	21398	129
994	21427	107
995	21459	86
996	21486	64
997	21506	43
998	21533	21
999	21562	0
